TF,target,importance
RPS10,RPL22,59.47246297
IRF7,PLD4,59.43163361
RPL6,RPS6,59.31800963
RPL6,RPL35,59.28291995
RPL6,RPS7,59.23978968
FOS,FCN1,59.16773334
TBX21,CST7,58.95953934
RPL35,RPS7,58.70190517
RPL6,NACA,58.6746762
XBP1,SSR4,58.62598429
RPS10,RPL11,58.61091521
CUX2,SCT,58.35101678
TBX21,KLRD1,58.30125745
ODC1,CAVIN2,58.13754998
RPL6,RPLP1,58.10658201
RPL35,RPS14,57.92581303
RPL6,RPL5,57.78575064
RPS10,EEF1A1,57.70159865
RPL35,RPS21,57.68193273
RPL6,RPS15A,57.67663527
RPL6,RPS25,57.63764867
RPS10,RPL37A,57.61291418
TCF4,DNASE1L3,57.53504035
RPL35,RPL28,57.38207003
RPS10,RPL39,57.25153102
RPL35,RPS23,57.22704873
IRF7,LILRA4,57.06316398
XBP1,JCHAIN,56.92295984
RPL6,RPL37A,56.85376723
RPL35,RPS3A,56.81592188
RPL6,RPL27,56.78817507
RPL6,BTF3,56.78734555
RPS10,RPS3,56.73101167
TAL1,ESAM,56.63790353
YBX1,PTMA,56.61641767
RPS10,RPS5,56.61532962
RPL35,RPL34,56.44534959
RPS10,RPS6,56.35237308
FOS,JUND,56.32728546
RPL35,EEF1A1,56.3226131
TBX21,CTSW,56.3064167
FOS,MNDA,56.13487565
YBX1,TMSB10,56.12102095
RPL35,RPL37,56.00427927
RPL35,RPSA,56.00160089
RPL6,RPS5,55.70138862
RPL6,RPS20,55.68941723
RPL35,RPS28,55.68787171
CEBPD,S100A9,55.59119701
RPL6,RPLP2,55.3208619
TCF4,SMPD3,55.30163696
RPS4X,RACK1,55.15990703
EOMES,GZMK,55.03900701
RPS4X,LDHB,55.02670943
RPL6,RPL24,54.89239331
FOS,MCL1,54.88875533
RPL35,RPL9,54.82701642
FOS,NCF2,54.78174914
RPS10,RPS19,54.77988565
HES4,FCGR3A,54.75379421
RPS10,RPL14,54.75331511
RPL35,RPS9,54.69306394
RPL35,RPL4,54.63570935
RPS10,RPLP1,54.56618505
RPL6,RPS15,54.55739258
RPL35,RPL38,54.41077693
ODC1,CMTM5,54.30294463
RPL35,RPL39,54.17628034
HES4,MTSS1,54.1277982
TCF4,LRRC26,54.10358807
IRF7,AL096865.1,54.03761202
RPS4X,RPL36AL,54.0147503
NAP1L1,FCGR3A,53.98978182
RPS4X,EEF1D,53.94799
RPS10,RPL18A,53.88687133
RPS4X,RPL27A,53.76675171
SPIB,CD37,53.21890807
RPS10,RPL3,53.10496562
RPS4X,NACA,52.87657992
RPS10,RPL12,52.75031977
RPL35,RPL35A,52.57301906
RPS10,RPL9,52.48572885
RPS4X,HINT1,52.4835626
RPS10,RPS8,52.27576813
RPL6,RPL3,52.26377931
SPI1,LGALS3,52.19867696
SPIB,CD79B,52.18150314
RPL6,RPL19,52.10940136
SPI1,ACTB,51.9523894
RPS10,RPS15,51.87844082
TCF4,CCDC50,51.85806671
RPL6,RPL36,51.8013974
